head,relation,tail,label,modification,assertion
PersonX goes to bed early,xNeed,PersonX turn off the lights,1,0,The event PersonX goes to bed early will not happen unless PersonX turn off the lights
PersonX tells ___ it was okay,xIntent,PersonX listen to persony,0,2,"PersonX tells ___ it was okay, thus it can be seen about PersonX's intention that PersonX listen to persony"
PersonX donates plasma,xAttr,PersonX be desperate,1,0,"PersonX donates plasma, thus it can be seen about PersonX's attribute that PersonX be desperate"
PersonX studies for PersonX's exam,oReact,PersonX intended to get a good grade,0,1,"PersonX studies for PersonX's exam, thus as a result on PersonY's emotion, PersonX intended to get a good grade"
PersonX makes pasta for dinner,xIntent,PersonX feel happy,0,2,"PersonX makes pasta for dinner, thus it can be seen about PersonX's intention that PersonX feel happy"
PersonX shrugs PersonY's shoulders,xNeed,PersonX intended to show they are unsure,0,2,The event PersonX shrugs PersonY's shoulders will not happen unless PersonX intended to show they are unsure
PersonX looks like,oReact,PersonX be similar,0,1,"PersonX looks like, thus as a result on PersonY's emotion, PersonX be similar"
PersonX offer to teach PersonY,xAttr,PersonX be helpful,1,0,"PersonX offer to teach PersonY, thus it can be seen about PersonX's attribute that PersonX be helpful"
PersonX rents an apartment,xNeed,PersonX put down a deposit,1,0,The event PersonX rents an apartment will not happen unless PersonX put down a deposit
PersonX makes PersonX's arrangements,xReact,PersonX intended to be prepared,0,2,"PersonX makes PersonX's arrangements, thus as a result on PersonX's emotion, PersonX intended to be prepared"
PersonX watches old movies,xAttr,PersonX be old-fashioned,1,0,"PersonX watches old movies, thus it can be seen about PersonX's attribute that PersonX be old-fashioned"
PersonX prevents PersonY's escape,xIntent,PersonX intended to stop person y,1,0,"PersonX prevents PersonY's escape, thus it can be seen about PersonX's intention that PersonX intended to stop person y"
PersonX grants a ___ by ccc,xNeed,PersonX intended to approve,0,1,The event PersonX grants a ___ by ccc will not happen unless PersonX intended to approve
PersonX invites people,xIntent,PersonX intended to social content ,1,0,"PersonX invites people, thus it can be seen about PersonX's intention that PersonX intended to social content "
PersonX invites ___ over to play,xAttr,PersonX intended to enjoy,0,1,"PersonX invites ___ over to play, thus it can be seen about PersonX's attribute that PersonX intended to enjoy"
PersonX dies on the vine,xNeed,PersonX climb the plant,1,0,The event PersonX dies on the vine will not happen unless PersonX climb the plant
PersonX makes pasta,xIntent,PersonX feel better,0,2,"PersonX makes pasta, thus it can be seen about PersonX's intention that PersonX feel better"
PersonX enters PersonX's car,xIntent,PersonX grab keys,0,1,"PersonX enters PersonX's car, thus it can be seen about PersonX's intention that PersonX grab keys"
PersonX shows PersonY's mother,xNeed,PersonX be great,0,2,The event PersonX shows PersonY's mother will not happen unless PersonX be great
PersonX builds castles in the air,xAttr,PersonX use his hands,0,1,"PersonX builds castles in the air, thus it can be seen about PersonX's attribute that PersonX use his hands"
PersonX practices really hard,oReact,PersonX feel strong,0,1,"PersonX practices really hard, thus as a result on PersonY's emotion, PersonX feel strong"
PersonX gives PersonY PersonX's name,xAttr,PersonX be emotional,1,0,"PersonX gives PersonY PersonX's name, thus it can be seen about PersonX's attribute that PersonX be emotional"
PersonX gives bob ___,xNeed,PersonX intended to help bob,0,1,The event PersonX gives bob ___ will not happen unless PersonX intended to help bob
PersonX smells nice,oReact,PersonX put on parfume,0,1,"PersonX smells nice, thus as a result on PersonY's emotion, PersonX put on parfume"
PersonX wants money,xIntent,PersonX provide some help,0,2,"PersonX wants money, thus it can be seen about PersonX's intention that PersonX provide some help"
PersonX finally got around,xReact,PersonX find a way to get there,0,1,"PersonX finally got around, thus as a result on PersonX's emotion, PersonX find a way to get there"
PersonX persuades the ___ to allow,xNeed,PersonX convince the officer,1,0,The event PersonX persuades the ___ to allow will not happen unless PersonX convince the officer
PersonX affects PersonY deeply,xNeed,PersonX know persony well,1,0,The event PersonX affects PersonY deeply will not happen unless PersonX know persony well
PersonX takes ___ sitting down,xNeed,PersonX grab a chair,1,0,The event PersonX takes ___ sitting down will not happen unless PersonX grab a chair
PersonX slips PersonY's tongue,xNeed,PersonX be hurtful,0,2,The event PersonX slips PersonY's tongue will not happen unless PersonX be hurtful
PersonX gives PersonY the slip,oReact,PersonY feel angry,1,0,"PersonX gives PersonY the slip, thus as a result on PersonY's emotion, PersonY feel angry"
PersonX can n't believe PersonX's luck,xIntent,PersonX feel elated,0,1,"PersonX can n't believe PersonX's luck, thus it can be seen about PersonX's intention that PersonX feel elated"
PersonX goes to the library to study,xReact,PersonX starts car to drive to library,0,2,"PersonX goes to the library to study, thus as a result on PersonX's emotion, PersonX starts car to drive to library"
PersonX finds PersonX's shoes,xNeed,PersonX feel satisfied,0,2,The event PersonX finds PersonX's shoes will not happen unless PersonX feel satisfied
PersonX sees if could make,xReact,PersonX looks up how to make,0,1,"PersonX sees if could make, thus as a result on PersonX's emotion, PersonX looks up how to make"
PersonX exchanges numbers,xNeed,PersonX intended to call each other,0,2,The event PersonX exchanges numbers will not happen unless PersonX intended to call each other
PersonX puts ___ in PersonX's backpack,xNeed,PersonX take persons backpack,1,0,The event PersonX puts ___ in PersonX's backpack will not happen unless PersonX take persons backpack
PersonX pulls PersonY's hand away,xNeed,PersonX catch hold of person y' hand,1,0,The event PersonX pulls PersonY's hand away will not happen unless PersonX catch hold of person y' hand
PersonX puts it in the oven,oReact,PersonX intended to make dinner,0,1,"PersonX puts it in the oven, thus as a result on PersonY's emotion, PersonX intended to make dinner"
PersonX meets PersonY's husband,xReact,"PersonX feel satisfied, happy, good about themselves",1,0,"PersonX meets PersonY's husband, thus as a result on PersonX's emotion, PersonX feel satisfied, happy, good about themselves"
PersonX gets everything together,xNeed,PersonX be organized,1,0,The event PersonX gets everything together will not happen unless PersonX be organized
PersonX enjoys ___ together,xIntent,PersonX intended to be happy and take in the moment,1,0,"PersonX enjoys ___ together, thus it can be seen about PersonX's intention that PersonX intended to be happy and take in the moment"
PersonX maintains PersonY equilibrium,xNeed,PersonX intended to keep persony on their feet ,0,1,The event PersonX maintains PersonY equilibrium will not happen unless PersonX intended to keep persony on their feet 
PersonX finds PersonX's car keys,xIntent,PersonX feel relieved,0,2,"PersonX finds PersonX's car keys, thus it can be seen about PersonX's intention that PersonX feel relieved"
PersonX gets it to work,xNeed,PersonX be smart,0,2,The event PersonX gets it to work will not happen unless PersonX be smart
PersonX wants to learn how to cook,xIntent,PersonX buy cook books,0,2,"PersonX wants to learn how to cook, thus it can be seen about PersonX's intention that PersonX buy cook books"
PersonX argues with PersonX's boyfriend,xNeed,PersonX get mad,1,0,The event PersonX argues with PersonX's boyfriend will not happen unless PersonX get mad
PersonX is short on money,xNeed,PersonX be nervous,0,2,The event PersonX is short on money will not happen unless PersonX be nervous
PersonX speaks with PersonY,xIntent,PersonX intended to communicate something,1,0,"PersonX speaks with PersonY, thus it can be seen about PersonX's intention that PersonX intended to communicate something"
PersonX needs a good grade,xReact,PersonX feel anxious,1,0,"PersonX needs a good grade, thus as a result on PersonX's emotion, PersonX feel anxious"
PersonX sits across from PersonY,xIntent,PersonX shoes,0,1,"PersonX sits across from PersonY, thus it can be seen about PersonX's intention that PersonX shoes"
PersonX calls PersonY ambulance,xAttr,PersonX be worried,1,0,"PersonX calls PersonY ambulance, thus it can be seen about PersonX's attribute that PersonX be worried"
PersonX buys PersonY a dog,oReact,PersonX be properous,0,1,"PersonX buys PersonY a dog, thus as a result on PersonY's emotion, PersonX be properous"
PersonX uses the ___ as a means,xNeed,PersonX figure out a plan,1,0,The event PersonX uses the ___ as a means will not happen unless PersonX figure out a plan
PersonX does not have a lot of money,xReact,PersonX feel like they need to be in a better financial situation,1,0,"PersonX does not have a lot of money, thus as a result on PersonX's emotion, PersonX feel like they need to be in a better financial situation"
PersonX finds ___ in PersonX's attic,xIntent,PersonX feel relieved,0,1,"PersonX finds ___ in PersonX's attic, thus it can be seen about PersonX's intention that PersonX feel relieved"
PersonX attends PersonY's father 's ___,xAttr,PersonX be remorseful,1,0,"PersonX attends PersonY's father 's ___, thus it can be seen about PersonX's attribute that PersonX be remorseful"
PersonX feels better than ever,xAttr,PersonX intended to go to the movies,0,2,"PersonX feels better than ever, thus it can be seen about PersonX's attribute that PersonX intended to go to the movies"
PersonX gets the shot,xIntent,PersonX intended to be healthy,1,0,"PersonX gets the shot, thus it can be seen about PersonX's intention that PersonX intended to be healthy"
PersonX drops ___ off at home,xIntent,PersonX drive,0,2,"PersonX drops ___ off at home, thus it can be seen about PersonX's intention that PersonX drive"
PersonX uses ___ anyway,xNeed,PersonX be resistant,0,2,The event PersonX uses ___ anyway will not happen unless PersonX be resistant
PersonX smells something burning,xNeed,PersonX drink some water,1,0,The event PersonX smells something burning will not happen unless PersonX drink some water
PersonX likes a girl,xReact,PersonX feel caring,1,0,"PersonX likes a girl, thus as a result on PersonX's emotion, PersonX feel caring"
PersonX has done something wrong,xAttr,PersonX feel awful,0,2,"PersonX has done something wrong, thus it can be seen about PersonX's attribute that PersonX feel awful"
PersonX unlocks the door,xIntent,PersonX feel normal,0,2,"PersonX unlocks the door, thus it can be seen about PersonX's intention that PersonX feel normal"
PersonX saves PersonY's ___ from PersonX's sins,xNeed,PersonX be careful,0,2,The event PersonX saves PersonY's ___ from PersonX's sins will not happen unless PersonX be careful
PersonX looks like a man,xNeed,PersonX dress masculine,1,0,The event PersonX looks like a man will not happen unless PersonX dress masculine
PersonX extends PersonX's knowledge,xIntent,PersonX intended to help other's by sharing,1,0,"PersonX extends PersonX's knowledge, thus it can be seen about PersonX's intention that PersonX intended to help other's by sharing"
PersonX dyes PersonY's hair blonde,xAttr,PersonX put a smock on person y,0,2,"PersonX dyes PersonY's hair blonde, thus it can be seen about PersonX's attribute that PersonX put a smock on person y"
PersonX misses class,xAttr,PersonX feel sorry  for it,0,2,"PersonX misses class, thus it can be seen about PersonX's attribute that PersonX feel sorry  for it"
PersonX determines one 's ___,xNeed,PersonX pass judgement,1,0,The event PersonX determines one 's ___ will not happen unless PersonX pass judgement
PersonX graduates ___ at the university,xReact,PersonX attend classes,0,2,"PersonX graduates ___ at the university, thus as a result on PersonX's emotion, PersonX attend classes"
PersonX uses PersonX's skills,xNeed,PersonX maintain his skills,1,0,The event PersonX uses PersonX's skills will not happen unless PersonX maintain his skills
PersonX keeps ___ at bay,oReact,PersonX feel heroic,0,1,"PersonX keeps ___ at bay, thus as a result on PersonY's emotion, PersonX feel heroic"
PersonX tips PersonY's head,xNeed,PersonX touch persony,1,0,The event PersonX tips PersonY's head will not happen unless PersonX touch persony
PersonX rests on PersonX's laurels,xNeed,PersonX not to need anything else in your life,1,0,The event PersonX rests on PersonX's laurels will not happen unless PersonX not to need anything else in your life
PersonX misses ___ to school,xIntent,PersonX be late,0,1,"PersonX misses ___ to school, thus it can be seen about PersonX's intention that PersonX be late"
PersonX asks PersonY to read,xNeed,PersonX think persony might read it for them,1,0,The event PersonX asks PersonY to read will not happen unless PersonX think persony might read it for them
PersonX feels so sad,xNeed,PersonX be disappointed by something,1,0,The event PersonX feels so sad will not happen unless PersonX be disappointed by something
PersonX breaks the mold,xIntent,PersonX feel glad,0,1,"PersonX breaks the mold, thus it can be seen about PersonX's intention that PersonX feel glad"
PersonX gives ___ a small smile,xReact,PersonX be nice,0,2,"PersonX gives ___ a small smile, thus as a result on PersonX's emotion, PersonX be nice"
PersonX takes PersonY view,xNeed,PersonX go home,1,0,The event PersonX takes PersonY view will not happen unless PersonX go home
PersonX throws some bread,xNeed,PersonX take the bread from package,1,0,The event PersonX throws some bread will not happen unless PersonX take the bread from package
PersonX looks ___ in the face,oReact,PersonX feel satisfied,0,1,"PersonX looks ___ in the face, thus as a result on PersonY's emotion, PersonX feel satisfied"
PersonX waves PersonY,xNeed,PersonX feel happy,0,2,The event PersonX waves PersonY will not happen unless PersonX feel happy
PersonX speaks ___ fluently,xNeed,PersonX practice,1,0,The event PersonX speaks ___ fluently will not happen unless PersonX practice
PersonX is a long drive,xNeed,PersonX turn on the car,1,0,The event PersonX is a long drive will not happen unless PersonX turn on the car
PersonX rewards every ___ according,xIntent,PersonX balance life,0,2,"PersonX rewards every ___ according, thus it can be seen about PersonX's intention that PersonX balance life"
PersonX comes to PersonY house,xAttr,PersonX intended to visit them,0,1,"PersonX comes to PersonY house, thus it can be seen about PersonX's attribute that PersonX intended to visit them"
PersonX prevents PersonY from coming,xIntent,PersonX intended to be alone,1,0,"PersonX prevents PersonY from coming, thus it can be seen about PersonX's intention that PersonX intended to be alone"
PersonX wants to come back,xIntent,PersonX feel satisfied,0,2,"PersonX wants to come back, thus it can be seen about PersonX's intention that PersonX feel satisfied"
PersonX takes a ride,xIntent,PersonX be in a train,0,2,"PersonX takes a ride, thus it can be seen about PersonX's intention that PersonX be in a train"
PersonX puts PersonY's ___ into execution,xAttr,PersonX feel motivated,0,1,"PersonX puts PersonY's ___ into execution, thus it can be seen about PersonX's attribute that PersonX feel motivated"
PersonX loves another ___,xAttr,PersonX be unhappy,1,0,"PersonX loves another ___, thus it can be seen about PersonX's attribute that PersonX be unhappy"
PersonX costs the earth,xNeed,PersonX be hurtful,0,2,The event PersonX costs the earth will not happen unless PersonX be hurtful
PersonX purchases a lottery ticket,xNeed,PersonX intended to be a millionaire,0,1,The event PersonX purchases a lottery ticket will not happen unless PersonX intended to be a millionaire
PersonX knits PersonX's eyebrows,xIntent,PersonX want to show their opinion on it,0,1,"PersonX knits PersonX's eyebrows, thus it can be seen about PersonX's intention that PersonX want to show their opinion on it"
PersonX looks at PersonY like that,xAttr,PersonX look at persony,0,2,"PersonX looks at PersonY like that, thus it can be seen about PersonX's attribute that PersonX look at persony"
PersonX plays PersonX's new game,xAttr,PersonX intended to escape for awhile,0,1,"PersonX plays PersonX's new game, thus it can be seen about PersonX's attribute that PersonX intended to escape for awhile"
PersonX gives PersonY a name,xAttr,PersonX be helpful,1,0,"PersonX gives PersonY a name, thus it can be seen about PersonX's attribute that PersonX be helpful"
PersonX hearts beat as PersonX,xNeed,PersonX have been running,1,0,The event PersonX hearts beat as PersonX will not happen unless PersonX have been running
PersonX starts with a clean slate,xNeed,PersonX get a new job,1,0,The event PersonX starts with a clean slate will not happen unless PersonX get a new job
PersonX fears PersonY,xReact,PersonX feel anxious,1,0,"PersonX fears PersonY, thus as a result on PersonX's emotion, PersonX feel anxious"
PersonX turns PersonX's nose up,xIntent,PersonX intended to show disapproval,1,0,"PersonX turns PersonX's nose up, thus it can be seen about PersonX's intention that PersonX intended to show disapproval"
PersonX improves PersonY's appearance,xIntent,PersonX intended to person y to be confident ,1,0,"PersonX improves PersonY's appearance, thus it can be seen about PersonX's intention that PersonX intended to person y to be confident "
PersonX drops PersonY's head,xReact,PersonX be clumsy,0,2,"PersonX drops PersonY's head, thus as a result on PersonX's emotion, PersonX be clumsy"
PersonX buys dog food,xNeed,PersonX intended to feed their dog,0,2,The event PersonX buys dog food will not happen unless PersonX intended to feed their dog
PersonX adores PersonY,xIntent,PersonX be admiring,0,1,"PersonX adores PersonY, thus it can be seen about PersonX's intention that PersonX be admiring"
PersonX loses PersonX's ___ in the war,xIntent,PersonX feel good feeling,0,2,"PersonX loses PersonX's ___ in the war, thus it can be seen about PersonX's intention that PersonX feel good feeling"
PersonX tells PersonY to give,oReact,PersonX approach someone,0,1,"PersonX tells PersonY to give, thus as a result on PersonY's emotion, PersonX approach someone"
PersonX puts it together,xNeed,PersonX feel good,0,2,The event PersonX puts it together will not happen unless PersonX feel good
PersonX reduces the ___ to levels,xNeed,PersonX intended to make an accomplishment,0,2,The event PersonX reduces the ___ to levels will not happen unless PersonX intended to make an accomplishment
PersonX sends home ___,oReact,PersonX compose a letter in their mind,0,1,"PersonX sends home ___, thus as a result on PersonY's emotion, PersonX compose a letter in their mind"
PersonX blows PersonX's load,xReact,PersonX feel relieved,1,0,"PersonX blows PersonX's load, thus as a result on PersonX's emotion, PersonX feel relieved"
PersonX orders ___ from the restaurant,xNeed,PersonX decide what he wants to eat,1,0,The event PersonX orders ___ from the restaurant will not happen unless PersonX decide what he wants to eat
PersonX has a lot of money,xAttr,PersonX feel powerful,0,2,"PersonX has a lot of money, thus it can be seen about PersonX's attribute that PersonX feel powerful"
PersonX packs heat,xAttr,PersonX apply for a gun permit,0,2,"PersonX packs heat, thus it can be seen about PersonX's attribute that PersonX apply for a gun permit"
PersonX creates the ___ in days,xIntent,PersonX be skillful,0,1,"PersonX creates the ___ in days, thus it can be seen about PersonX's intention that PersonX be skillful"
PersonX finishes PersonY's homework,xAttr,PersonX be competent,1,0,"PersonX finishes PersonY's homework, thus it can be seen about PersonX's attribute that PersonX be competent"
PersonX uses ___ anymore,xNeed,PersonX  want to give it away,1,0,The event PersonX uses ___ anymore will not happen unless PersonX  want to give it away
PersonX walks to the car,xNeed,PersonX feel relieved,0,2,The event PersonX walks to the car will not happen unless PersonX feel relieved
PersonX does n't want to fight,xAttr,PersonX intended to avoid injury,0,1,"PersonX does n't want to fight, thus it can be seen about PersonX's attribute that PersonX intended to avoid injury"
PersonX gets PersonY's license,xIntent,PersonX be committed,0,1,"PersonX gets PersonY's license, thus it can be seen about PersonX's intention that PersonX be committed"
PersonX puts PersonY's ___ together,xIntent,PersonX be focused,0,2,"PersonX puts PersonY's ___ together, thus it can be seen about PersonX's intention that PersonX be focused"
PersonX doeth all ___ well,xAttr,PersonX feel good,0,2,"PersonX doeth all ___ well, thus it can be seen about PersonX's attribute that PersonX feel good"
PersonX drives all the way back,oReact,PersonX get into the car,0,1,"PersonX drives all the way back, thus as a result on PersonY's emotion, PersonX get into the car"
PersonX loves to garden,xAttr,PersonX be creative,1,0,"PersonX loves to garden, thus it can be seen about PersonX's attribute that PersonX be creative"
PersonX takes a hike in the woods,xNeed,PersonX put on boots,1,0,The event PersonX takes a hike in the woods will not happen unless PersonX put on boots
PersonX lives next door,xAttr,PersonX be responsible,1,0,"PersonX lives next door, thus it can be seen about PersonX's attribute that PersonX be responsible"
PersonX knows which end is up,xAttr,PersonX feel intrigued,0,2,"PersonX knows which end is up, thus it can be seen about PersonX's attribute that PersonX feel intrigued"
PersonX prevents PersonY from taking,xIntent,PersonX feel to have helped the person,0,2,"PersonX prevents PersonY from taking, thus it can be seen about PersonX's intention that PersonX feel to have helped the person"
PersonX burns ___ badly,xNeed,PersonX be cooking,1,0,The event PersonX burns ___ badly will not happen unless PersonX be cooking
PersonX nurses it back to health,xIntent,PersonX intended to his dog to live longer,1,0,"PersonX nurses it back to health, thus it can be seen about PersonX's intention that PersonX intended to his dog to live longer"
PersonX drops ___ on the floor,xReact,PersonX grab something,0,2,"PersonX drops ___ on the floor, thus as a result on PersonX's emotion, PersonX grab something"
PersonX gets detention,xNeed,PersonX intended to be rebellious,0,1,The event PersonX gets detention will not happen unless PersonX intended to be rebellious
PersonX falls ill,xIntent,PersonX be tense,0,1,"PersonX falls ill, thus it can be seen about PersonX's intention that PersonX be tense"
PersonX throws the book,xReact,PersonX feel frustrated,1,0,"PersonX throws the book, thus as a result on PersonX's emotion, PersonX feel frustrated"
PersonX finds another gear,oReact,PersonX decide to change the gear,0,1,"PersonX finds another gear, thus as a result on PersonY's emotion, PersonX decide to change the gear"
PersonX publishes ___ in cooperation,xAttr,PersonX be popular,1,0,"PersonX publishes ___ in cooperation, thus it can be seen about PersonX's attribute that PersonX be popular"
PersonX swings for the fences,xAttr,PersonX receive a pitch,0,1,"PersonX swings for the fences, thus it can be seen about PersonX's attribute that PersonX receive a pitch"
PersonX grabs PersonY's gun,xIntent,PersonX intended to kill the snake to save his friend,1,0,"PersonX grabs PersonY's gun, thus it can be seen about PersonX's intention that PersonX intended to kill the snake to save his friend"
PersonX leads PersonY expedition,xNeed,PersonX he goes with him,1,0,The event PersonX leads PersonY expedition will not happen unless PersonX he goes with him
PersonX sneaks around,xIntent,PersonX feel sneaky,0,2,"PersonX sneaks around, thus it can be seen about PersonX's intention that PersonX feel sneaky"
PersonX french kisses,xIntent,PersonX intended to feel tongue,1,0,"PersonX french kisses, thus it can be seen about PersonX's intention that PersonX intended to feel tongue"
PersonX alters PersonY's course,xNeed,PersonX get to know about it,1,0,The event PersonX alters PersonY's course will not happen unless PersonX get to know about it
PersonX is right next,xAttr,PersonX feel curious,0,2,"PersonX is right next, thus it can be seen about PersonX's attribute that PersonX feel curious"
PersonX dances all night,xIntent,PersonX have some drinks,0,1,"PersonX dances all night, thus it can be seen about PersonX's intention that PersonX have some drinks"
PersonX protects ___ from harm,xAttr,PersonX be curageous,1,0,"PersonX protects ___ from harm, thus it can be seen about PersonX's attribute that PersonX be curageous"
PersonX pays ___ to the king,xAttr,PersonX be dutiful,1,0,"PersonX pays ___ to the king, thus it can be seen about PersonX's attribute that PersonX be dutiful"
PersonX pumps iron,xNeed,PersonX goes to gym,1,0,The event PersonX pumps iron will not happen unless PersonX goes to gym
PersonX pulls faces,xReact,"PersonX feel like a murderer, a soldier, stressed",1,0,"PersonX pulls faces, thus as a result on PersonX's emotion, PersonX feel like a murderer, a soldier, stressed"
PersonX leaves the class,xAttr,PersonX be distracted,1,0,"PersonX leaves the class, thus it can be seen about PersonX's attribute that PersonX be distracted"
PersonX buys one for PersonY,xReact,PersonX be sponsoring for person y,0,1,"PersonX buys one for PersonY, thus as a result on PersonX's emotion, PersonX be sponsoring for person y"
PersonX prevents the ___ from breaking,xAttr,PersonX be careful,1,0,"PersonX prevents the ___ from breaking, thus it can be seen about PersonX's attribute that PersonX be careful"
PersonX gives PersonX's presentation,xNeed,PersonX feel accomplished,0,2,The event PersonX gives PersonX's presentation will not happen unless PersonX feel accomplished
PersonX makes a salad,xNeed,PersonX get the ingredients,1,0,The event PersonX makes a salad will not happen unless PersonX get the ingredients
PersonX gains PersonY's confidence,xNeed,PersonX keep persony's secrets,1,0,The event PersonX gains PersonY's confidence will not happen unless PersonX keep persony's secrets
PersonX is a quick learner,xReact,PersonX feel proud and happy,1,0,"PersonX is a quick learner, thus as a result on PersonX's emotion, PersonX feel proud and happy"
PersonX includes another ___,xAttr,PersonX be accomodating,1,0,"PersonX includes another ___, thus it can be seen about PersonX's attribute that PersonX be accomodating"
PersonX spills PersonX's guts,xAttr,PersonX be gulity,1,0,"PersonX spills PersonX's guts, thus it can be seen about PersonX's attribute that PersonX be gulity"
PersonX is PersonY's mother,xReact,PersonX intended to a child ,0,1,"PersonX is PersonY's mother, thus as a result on PersonX's emotion, PersonX intended to a child "
PersonX studies ___ in college,xNeed,PersonX intended to prepare for a career after graduation,0,2,The event PersonX studies ___ in college will not happen unless PersonX intended to prepare for a career after graduation
PersonX wipes PersonY's hands,xIntent,PersonX intended to person's hands to be clean ,1,0,"PersonX wipes PersonY's hands, thus it can be seen about PersonX's intention that PersonX intended to person's hands to be clean "
PersonX pulls the car,xNeed,PersonX be muscular,0,1,The event PersonX pulls the car will not happen unless PersonX be muscular
PersonX exercises every ___,xNeed,PersonX read all manuals,1,0,The event PersonX exercises every ___ will not happen unless PersonX read all manuals
PersonX bits PersonX's lip,xIntent,PersonX intended to calm himself down,1,0,"PersonX bits PersonX's lip, thus it can be seen about PersonX's intention that PersonX intended to calm himself down"
PersonX really love PersonY,xNeed,PersonX a relationship,1,0,The event PersonX really love PersonY will not happen unless PersonX a relationship
PersonX is still angry,xReact,PersonX gets angry with situation,0,1,"PersonX is still angry, thus as a result on PersonX's emotion, PersonX gets angry with situation"
PersonX sells PersonX's jewelry,xIntent,PersonX feel better off financially,0,2,"PersonX sells PersonX's jewelry, thus it can be seen about PersonX's intention that PersonX feel better off financially"
PersonX brings people together,oReact,PersonX intended to  live in peace,0,1,"PersonX brings people together, thus as a result on PersonY's emotion, PersonX intended to  live in peace"
PersonX puts PersonX's phone,xNeed,PersonX take a phone,1,0,The event PersonX puts PersonX's phone will not happen unless PersonX take a phone
PersonX wants ___ very badly,xReact,PersonX research video game systems,0,2,"PersonX wants ___ very badly, thus as a result on PersonX's emotion, PersonX research video game systems"
PersonX plays a ___ in the movement,xNeed,PersonX determine the need within the movement,1,0,The event PersonX plays a ___ in the movement will not happen unless PersonX determine the need within the movement
PersonX sees a boy,xAttr,PersonX feel excited by the boy,0,2,"PersonX sees a boy, thus it can be seen about PersonX's attribute that PersonX feel excited by the boy"
PersonX plays a ___ in the system,xNeed,PersonX follow orders,1,0,The event PersonX plays a ___ in the system will not happen unless PersonX follow orders
PersonX gets PersonX's hands on ___,xNeed,PersonX rush for something in a sale,1,0,The event PersonX gets PersonX's hands on ___ will not happen unless PersonX rush for something in a sale
PersonX smells something terrible,xReact,PersonX feel grossed out,1,0,"PersonX smells something terrible, thus as a result on PersonX's emotion, PersonX feel grossed out"
PersonX gives PersonY opinion,xIntent,PersonX make a decision,0,2,"PersonX gives PersonY opinion, thus it can be seen about PersonX's intention that PersonX make a decision"
PersonX helps PersonY's move,xNeed,PersonX agree to help persony,1,0,The event PersonX helps PersonY's move will not happen unless PersonX agree to help persony
PersonX tips PersonY's head back,xAttr,PersonX intended to move person's head,0,2,"PersonX tips PersonY's head back, thus it can be seen about PersonX's attribute that PersonX intended to move person's head"
PersonX splashes ___ on PersonX's face,xAttr,PersonX intended to play joyfully,0,1,"PersonX splashes ___ on PersonX's face, thus it can be seen about PersonX's attribute that PersonX intended to play joyfully"
PersonX wants to come,xAttr,PersonX be outgoing,1,0,"PersonX wants to come, thus it can be seen about PersonX's attribute that PersonX be outgoing"
PersonX recently graduated,oReact,PersonX have passed all of their classes,0,1,"PersonX recently graduated, thus as a result on PersonY's emotion, PersonX have passed all of their classes"
PersonX is walking to the store,xIntent,PersonX intended to buy something,1,0,"PersonX is walking to the store, thus it can be seen about PersonX's intention that PersonX intended to buy something"
PersonX meets PersonY's customers ' ___,xNeed,PersonX get a job at persony's business,1,0,The event PersonX meets PersonY's customers ' ___ will not happen unless PersonX get a job at persony's business
PersonX loves riding PersonX's bike,xReact,PersonX intended to travel,0,2,"PersonX loves riding PersonX's bike, thus as a result on PersonX's emotion, PersonX intended to travel"
PersonX gets ___ to make,xNeed,PersonX be quite,1,0,The event PersonX gets ___ to make will not happen unless PersonX be quite
PersonX pierces PersonX's ears,xReact,PersonX intended to show off,0,1,"PersonX pierces PersonX's ears, thus as a result on PersonX's emotion, PersonX intended to show off"
PersonX attends PersonX's father 's ___,xNeed,PersonX buy an airline ticket,1,0,The event PersonX attends PersonX's father 's ___ will not happen unless PersonX buy an airline ticket
hairdressing salon,xIntent,PersonX intended to gossip ,1,0,"hairdressing salon, thus it can be seen about PersonX's intention that PersonX intended to gossip "
PersonX tries again next year,xNeed,PersonX feel proud about his non stop efforts,0,2,The event PersonX tries again next year will not happen unless PersonX feel proud about his non stop efforts
PersonX loves the ___ with PersonX's heart,xReact,PersonX feel joyous,1,0,"PersonX loves the ___ with PersonX's heart, thus as a result on PersonX's emotion, PersonX feel joyous"
PersonX helps PersonY stay awake,xAttr,PersonX be thoughful,1,0,"PersonX helps PersonY stay awake, thus it can be seen about PersonX's attribute that PersonX be thoughful"
PersonX buys a used car,xAttr,PersonX look on craigs list,0,1,"PersonX buys a used car, thus it can be seen about PersonX's attribute that PersonX look on craigs list"
PersonX gains confidence,xNeed,PersonX adjust themself well mentally,1,0,The event PersonX gains confidence will not happen unless PersonX adjust themself well mentally
PersonX links together the ___,xNeed,PersonX feel enlightened,0,2,The event PersonX links together the ___ will not happen unless PersonX feel enlightened
PersonX has a fit,xIntent,PersonX intended to they are imature ,1,0,"PersonX has a fit, thus it can be seen about PersonX's intention that PersonX intended to they are imature "
PersonX gets ___ at the store,xNeed,PersonX see what they need,1,0,The event PersonX gets ___ at the store will not happen unless PersonX see what they need
PersonX agrees to disagree,xIntent,PersonX intended to conclude the argument/discussion and move on ,1,0,"PersonX agrees to disagree, thus it can be seen about PersonX's intention that PersonX intended to conclude the argument/discussion and move on "
