head,tail,relation,dataset,label,assertion,assertion_tq
PersonX know PersonY well,PersonY buy a gift for PersonX,oEffect,atomic,1,"PersonX know PersonY well, thus as an result, PersonY buy a gift for PersonX","If PersonX know PersonY well, as a result, PersonY or others will, PersonY buy a gift for PersonX"
the PersonY can not understand person x,PeopleX can not miss a test at school,HinderedBy,atomic2020,0,"The event the PersonY can not understand person x will not happen, if PeopleX can not miss a test at school","If the PersonY can not understand person x, can be hindered by, PeopleX can not miss a test at school"
PersonX be drive down the street,PersonX be eager,xReact,atomic,1,"PersonX be drive down the street, thus as a result on PersonX's emotion, PersonX feel PersonX be eager","If PersonX be drive down the street, as a result, PersonX feels, PersonX be eager"
PersonX clean up there,PersonX have a broom,Causes,glucose,0,"Because PersonX clean up there, PersonX have a broom","If PersonX clean up there, causes, PersonX have a broom"
PersonX come out in wash,PersonX be clean,xEffect,atomic,1,"PersonX come out in wash, thus as an result, PersonX be clean","If PersonX come out in wash, as a result, PersonX will, PersonX be clean"
PersonX go to apartment,PersonX clean PersonY apartment,xNeed,atomic,0,The event PersonX go to apartment will not happen unless PersonX clean PersonY apartment,"If PersonX go to apartment, but before, PersonX needed, PersonX clean PersonY apartment"
person x do not live near water,PersonX do not have a ruler,HinderedBy,atomic2020,0,"The event person x do not live near water will not happen, if PersonX do not have a ruler","If person x do not live near water, can be hindered by, PersonX do not have a ruler"
PersonX eat anything,PersonX pardon PersonY french,xIntent,atomic,0,"PersonX eat anything, thus it can be seen about PersonX's intention that PersonX pardon PersonY french","If PersonX eat anything, because PersonX wanted, PersonX pardon PersonY french"
PersonX slam the door,PersonX worship the porcelain goddess,xAttr,atomic,0,"PersonX slam the door, thus it can be seen about PersonX's attribute that PersonX worship the porcelain goddess","If PersonX slam the door, PersonX is seen as, PersonX worship the porcelain goddess"
PersonX need brace,PersonX be bubbly,xAttr,atomic,0,"PersonX need brace, thus it can be seen about PersonX's attribute that PersonX be bubbly","If PersonX need brace, PersonX is seen as, PersonX be bubbly"
PersonX comtemplate,PeopleX set up that,xEffect,atomic,0,"PersonX comtemplate, thus as an result, PeopleX set up that","If PersonX comtemplate, as a result, PersonX will, PeopleX set up that"
PersonX get drunk with friend,PersonX 's religion forbid alcohol consumption,HinderedBy,atomic2020,1,"The event PersonX get drunk with friend will not happen, if PersonX 's religion forbid alcohol consumption","If PersonX get drunk with friend, can be hindered by, PersonX 's religion forbid alcohol consumption"
PersonX peronx save the picture,PersonX think it,xEffect,glucose,0,"PersonX peronx save the picture, thus as an result, PersonX think it","If PersonX peronx save the picture, as a result, PersonX will, PersonX think it"
PersonY maintain eye contract with PeopleX,PersonX turn PersonY head slightly,xWant,atomic,0,"PersonY maintain eye contract with PeopleX, thus, PersonX want to turn PersonY head slightly","If PersonY maintain eye contract with PeopleX, as a result, PersonX wants to, PersonX turn PersonY head slightly"
PersonX run from something,PersonX buy a new couch,xAttr,atomic,0,"PersonX run from something, thus it can be seen about PersonX's attribute that PersonX buy a new couch","If PersonX run from something, PersonX is seen as, PersonX buy a new couch"
PeopleX have no sense of humor,the pew be not for the taking,HinderedBy,atomic2020,0,"The event PeopleX have no sense of humor will not happen, if the pew be not for the taking","If PeopleX have no sense of humor, can be hindered by, the pew be not for the taking"
PersonX make PersonX round,PersonX practice something,xNeed,atomic,0,The event PersonX make PersonX round will not happen unless PersonX practice something,"If PersonX make PersonX round, but before, PersonX needed, PersonX practice something"
PersonX back PersonX car,PersonX be regret,xReact,atomic,1,"PersonX back PersonX car, thus as a result on PersonX's emotion, PersonX feel PersonX be regret","If PersonX back PersonX car, as a result, PersonX feels, PersonX be regret"
PersonX come quickly,'s cry,isAfter,atomic2020,1,"Before PersonX come quickly, 's cry","If PersonX come quickly, happens after, 's cry"
PersonX call to make a appointment,PersonX get a pedicure,isAfter,atomic2020,0,"Before PersonX call to make a appointment, PersonX get a pedicure","If PersonX call to make a appointment, happens after, PersonX get a pedicure"
PersonX hold PersonY close,PersonY be phobic about people,HinderedBy,atomic2020,1,"The event PersonX hold PersonY close will not happen, if PersonY be phobic about people","If PersonX hold PersonY close, can be hindered by, PersonY be phobic about people"
PersonX call the shot,PersonX want to get thing do,xWant,atomic,1,"PersonX call the shot, thus, PersonX want to get thing do","If PersonX call the shot, as a result, PersonX wants to, PersonX want to get thing do"
PersonX boil something for minute,PersonX swing arm,xEffect,glucose,0,"PersonX boil something for minute, thus as an result, PersonX swing arm","If PersonX boil something for minute, as a result, PersonX will, PersonX swing arm"
PersonX pay PersonY 's visit,PersonX expect rain,xReact,atomic,0,"PersonX pay PersonY 's visit, thus as a result on PersonX's emotion, PersonX expect rain","If PersonX pay PersonY 's visit, as a result, PersonX feels, PersonX expect rain"
PersonX buy a christmas tree,PersonX be at the county fair,xIntent,atomic,0,"PersonX buy a christmas tree, thus it can be seen about PersonX's intention that PersonX be at the county fair","If PersonX buy a christmas tree, because PersonX wanted, PersonX be at the county fair"
PersonX want to learn,PersonX want status,xNeed,atomic,0,The event PersonX want to learn will not happen unless PersonX want status,"If PersonX want to learn, but before, PersonX needed, PersonX want status"
PersonX present PersonY 's case,PersonX break up with boyfriend,oReact,atomic,0,"PersonX present PersonY 's case, thus as a result on PersonY's emotion, PersonX break up with boyfriend","If PersonX present PersonY 's case, as a result, PersonY or others feel, PersonX break up with boyfriend"
PersonX try to light a fire,PersonX feel cold,xAttr,glucose,1,"PersonX try to light a fire, thus it can be seen about PersonX's attribute that PersonX feel cold","If PersonX try to light a fire, PersonX is seen as, PersonX feel cold"
PersonX be drive down the street,PersonX be cautious,xAttr,atomic,1,"PersonX be drive down the street, thus it can be seen about PersonX's attribute that PersonX be cautious","If PersonX be drive down the street, PersonX is seen as, PersonX be cautious"
PersonX buy a new gun,PeopleX have commit to crime,HinderedBy,atomic2020,1,"The event PersonX buy a new gun will not happen, if PeopleX have commit to crime","If PersonX buy a new gun, can be hindered by, PeopleX have commit to crime"
PersonX satisfy PersonX 's desire,PeopleX want,HinderedBy,atomic2020,1,"The event PersonX satisfy PersonX 's desire will not happen, if PeopleX want","If PersonX satisfy PersonX 's desire, can be hindered by, PeopleX want"
PersonX see a elephant at zoo,PersonX furrow PersonY 's brow,isBefore,atomic2020,0,"After PersonX see a elephant at zoo, PersonX furrow PersonY 's brow","If PersonX see a elephant at zoo, happens before, PersonX furrow PersonY 's brow"
PersonX make PersonY 's name,PersonX make a name,xEffect,atomic,1,"PersonX make PersonY 's name, thus as an result, PersonX make a name","If PersonX make PersonY 's name, as a result, PersonX will, PersonX make a name"
PersonX buy some grocery,PersonX be full,xEffect,atomic,1,"PersonX buy some grocery, thus as an result, PersonX be full","If PersonX buy some grocery, as a result, PersonX will, PersonX be full"
PersonX spend night,PersonX need to carry out a activity,xNeed,atomic,1,The event PersonX spend night will not happen unless PersonX carry out a activity,"If PersonX spend night, but before, PersonX needed, PersonX need to carry out a activity"
PersonX talk to boss,PersonY be relieved,oReact,atomic,1,"PersonX talk to boss, thus as a result on PersonY's emotion, PersonY feel PersonY be relieved","If PersonX talk to boss, as a result, PersonY or others feel, PersonY be relieved"
PersonX love it in there,PersonX feel happy,xReact,glucose,1,"PersonX love it in there, thus as a result on PersonX's emotion, PersonX feel happy","If PersonX love it in there, as a result, PersonX feels, PersonX feel happy"
PersonX hide in bathroom,PersonX be see,xIntent,atomic,1,"PersonX hide in bathroom, thus it can be seen about PersonX's intention that PersonX be see","If PersonX hide in bathroom, because PersonX wanted, PersonX be see"
PersonX have a important meeting,PersonX want to be apart,xWant,atomic,0,"PersonX have a important meeting, thus, PersonX want to be apart","If PersonX have a important meeting, as a result, PersonX wants to, PersonX want to be apart"
PersonX drive to house,PersonX offer,xNeed,atomic,0,The event PersonX drive to house will not happen unless PersonX offer,"If PersonX drive to house, but before, PersonX needed, PersonX offer"
PersonX dunk a basketball,PersonX go to shop,xNeed,atomic,1,The event PersonX dunk a basketball will not happen unless PersonX go to shop,"If PersonX dunk a basketball, but before, PersonX needed, PersonX go to shop"
PersonX sigh,PersonX be class president,xEffect,atomic,0,"PersonX sigh, thus as an result, PersonX be class president","If PersonX sigh, as a result, PersonX will, PersonX be class president"
PersonX make the call,PersonX implement the solution,isBefore,atomic2020,1,"After PersonX make the call, PersonX implement the solution","If PersonX make the call, happens before, PersonX implement the solution"
it scratch,PersonX face,xWant,glucose,1,"it scratch, thus, PersonX want to face","If it scratch, as a result, PersonX wants to, PersonX face"
PersonX feel sad,PersonX do not want to go there,xAttr,atomic,0,"PersonX feel sad, thus it can be seen about PersonX's attribute that PersonX do not want to go there","If PersonX feel sad, PersonX is seen as, PersonX do not want to go there"
PersonX overeat,PersonX want to buy dvd of movie,xWant,atomic,0,"PersonX overeat, thus, PersonX want to buy dvd of movie","If PersonX overeat, as a result, PersonX wants to, PersonX want to buy dvd of movie"
PersonX be frozen,PersonX be relieved,xEffect,glucose,0,"PersonX be frozen, thus as an result, PersonX be relieved","If PersonX be frozen, as a result, PersonX will, PersonX be relieved"
PersonX hire immediately,PersonX be desperate,xAttr,atomic,1,"PersonX hire immediately, thus it can be seen about PersonX's attribute that PersonX be desperate","If PersonX hire immediately, PersonX is seen as, PersonX be desperate"
PersonX eat PersonY meal,PersonX want to replace the meal,xWant,atomic,1,"PersonX eat PersonY meal, thus, PersonX want to replace the meal","If PersonX eat PersonY meal, as a result, PersonX wants to, PersonX want to replace the meal"
PersonX get invite to party,PersonX win the award,xEffect,atomic,0,"PersonX get invite to party, thus as an result, PersonX win the award","If PersonX get invite to party, as a result, PersonX will, PersonX win the award"
PersonX invite PersonY family,PersonX love PersonY well,xReact,glucose,0,"PersonX invite PersonY family, thus as a result on PersonX's emotion, PersonX love PersonY well","If PersonX invite PersonY family, as a result, PersonX feels, PersonX love PersonY well"
PersonX buy that,PersonX have a discovery,Causes,glucose,1,"Because PersonX buy that, PersonX have a discovery","If PersonX buy that, causes, PersonX have a discovery"
PersonX want to ask PersonY out,PersonX be curious,xAttr,atomic,1,"PersonX want to ask PersonY out, thus it can be seen about PersonX's attribute that PersonX be curious","If PersonX want to ask PersonY out, PersonX is seen as, PersonX be curious"
PersonX play with that,PersonX do not think that,xEffect,glucose,1,"PersonX play with that, thus as an result, PersonX do not think that","If PersonX play with that, as a result, PersonX will, PersonX do not think that"
PersonX walk on water,PersonX be vindicate,xReact,glucose,1,"PersonX walk on water, thus as a result on PersonX's emotion, PersonX feel PersonX be vindicate","If PersonX walk on water, as a result, PersonX feels, PersonX be vindicate"
PersonX maintain PersonX position,PersonX want to take another role,xWant,atomic,1,"PersonX maintain PersonX position, thus, PersonX want to take another role","If PersonX maintain PersonX position, as a result, PersonX wants to, PersonX want to take another role"
PersonX declare bankruptcy,PersonX be overwhelm,xAttr,atomic,1,"PersonX declare bankruptcy, thus it can be seen about PersonX's attribute that PersonX be overwhelm","If PersonX declare bankruptcy, PersonX is seen as, PersonX be overwhelm"
PersonX get clipper,PersonX need to make arrangement for pet,xNeed,atomic,0,The event PersonX get clipper will not happen unless PersonX make arrangement for pet,"If PersonX get clipper, but before, PersonX needed, PersonX need to make arrangement for pet"
PersonX point PersonY in direction,PersonX do not have to explain,oEffect,atomic,0,"PersonX point PersonY in direction, thus as an result, PersonX do not have to explain","If PersonX point PersonY in direction, as a result, PersonY or others will, PersonX do not have to explain"
PersonX get PersonX bike,PersonX want to read the manual for gun,xWant,atomic,0,"PersonX get PersonX bike, thus, PersonX want to read the manual for gun","If PersonX get PersonX bike, as a result, PersonX wants to, PersonX want to read the manual for gun"
PersonX want to get PeopleX turn,PersonX want to read PeopleX text,xWant,atomic,0,"PersonX want to get PeopleX turn, thus, PersonX want to read PeopleX text","If PersonX want to get PeopleX turn, as a result, PersonX wants to, PersonX want to read PeopleX text"
PersonX show PersonX daughter,PersonX a bother,xReact,atomic,0,"PersonX show PersonX daughter, thus as a result on PersonX's emotion, PersonX a bother","If PersonX show PersonX daughter, as a result, PersonX feels, PersonX a bother"
PersonX learn PersonX lesson,PersonX gaze PersonY with eye,isAfter,atomic2020,0,"Before PersonX learn PersonX lesson, PersonX gaze PersonY with eye","If PersonX learn PersonX lesson, happens after, PersonX gaze PersonY with eye"
PersonX have a terrible headache,PersonX have to sit down,xEffect,atomic,1,"PersonX have a terrible headache, thus as an result, PersonX have to sit down","If PersonX have a terrible headache, as a result, PersonX will, PersonX have to sit down"
PersonX give PersonY the old heave-ho,PersonY want to take revenge on PersonX,oWant,atomic,1,"PersonX give PersonY the old heave-ho, thus, PersonY want to take revenge on PersonX","If PersonX give PersonY the old heave-ho, as a result, PersonY or others want to, PersonY want to take revenge on PersonX"
PersonX mow PersonY yard,PersonX do a friend a favor,xIntent,atomic,1,"PersonX mow PersonY yard, thus it can be seen about PersonX's intention that PersonX do a friend a favor","If PersonX mow PersonY yard, because PersonX wanted, PersonX do a friend a favor"
PersonX have a halloween party,PersonX be festive,xAttr,atomic,1,"PersonX have a halloween party, thus it can be seen about PersonX's attribute that PersonX be festive","If PersonX have a halloween party, PersonX is seen as, PersonX be festive"
PersonX get PersonY friend,PersonX need to be a good person,xNeed,atomic,1,The event PersonX get PersonY friend will not happen unless PersonX be a good person,"If PersonX get PersonY friend, but before, PersonX needed, PersonX need to be a good person"
PersonY prove that,PersonX feel distrust,xAttr,glucose,1,"PersonY prove that, thus it can be seen about PersonX's attribute that PersonX feel distrust","If PersonY prove that, PersonX is seen as, PersonX feel distrust"
PersonX visit friend,PersonX go PersonX way,xIntent,atomic,0,"PersonX visit friend, thus it can be seen about PersonX's intention that PersonX go PersonX way","If PersonX visit friend, because PersonX wanted, PersonX go PersonX way"
PersonY be search to know about PersonX,PersonX lose a tooth,xReact,atomic,0,"PersonY be search to know about PersonX, thus as a result on PersonX's emotion, PersonX lose a tooth","If PersonY be search to know about PersonX, as a result, PersonX feels, PersonX lose a tooth"
PersonX crash PersonY car,PersonX be ok,oEffect,glucose,0,"PersonX crash PersonY car, thus as an result, PersonX be ok","If PersonX crash PersonY car, as a result, PersonY or others will, PersonX be ok"
PersonX give PersonY that,PersonX have that,Causes,glucose,1,"Because PersonX give PersonY that, PersonX have that","If PersonX give PersonY that, causes, PersonX have that"
the surprise be already ruin,PersonX keep run,HinderedBy,atomic2020,0,"The event the surprise be already ruin will not happen, if PersonX keep run","If the surprise be already ruin, can be hindered by, PersonX keep run"
PersonX eat PersonY lunch,PersonX pay PersonY money,xWant,atomic,1,"PersonX eat PersonY lunch, thus, PersonX want to pay PersonY money","If PersonX eat PersonY lunch, as a result, PersonX wants to, PersonX pay PersonY money"
PersonX stop ask,PersonX need to answer,HinderedBy,atomic2020,1,"The event PersonX stop ask will not happen, if PersonX need to answer","If PersonX stop ask, can be hindered by, PersonX need to answer"
PersonX change the tire,PersonX be relieve,xReact,atomic,1,"PersonX change the tire, thus as a result on PersonX's emotion, PersonX feel PersonX be relieve","If PersonX change the tire, as a result, PersonX feels, PersonX be relieve"
PersonX might go,PersonX devise a plan,xAttr,atomic,0,"PersonX might go, thus it can be seen about PersonX's attribute that PersonX devise a plan","If PersonX might go, PersonX is seen as, PersonX devise a plan"
PersonY to be catch,PersonX give note,xWant,glucose,0,"PersonY to be catch, thus, PersonX want to give note","If PersonY to be catch, as a result, PersonX wants to, PersonX give note"
PersonX work closely with PersonY,PersonX be progressive,xAttr,atomic,1,"PersonX work closely with PersonY, thus it can be seen about PersonX's attribute that PersonX be progressive","If PersonX work closely with PersonY, PersonX is seen as, PersonX be progressive"
PersonX tell PersonX,PersonX be a deaf/mute,HinderedBy,atomic2020,1,"The event PersonX tell PersonX will not happen, if PersonX be a deaf/mute","If PersonX tell PersonX, can be hindered by, PersonX be a deaf/mute"
PersonX walk to front,PersonY want to examine a specimen,xWant,atomic,0,"PersonX walk to front, thus, PersonX want PersonY want to examine a specimen","If PersonX walk to front, as a result, PersonX wants to, PersonY want to examine a specimen"
there be no pole near personx,retailer 's term specifically state,HinderedBy,atomic2020,0,"The event there be no pole near personx will not happen, if retailer 's term specifically state","If there be no pole near personx, can be hindered by, retailer 's term specifically state"
PersonX bring child into world,PeopleX feed,xReact,atomic,0,"PersonX bring child into world, thus as a result on PersonX's emotion, PeopleX feed","If PersonX bring child into world, as a result, PersonX feels, PeopleX feed"
PersonX turn to walk away,PersonY wave goodbye,oWant,atomic,1,"PersonX turn to walk away, thus, PersonY want to wave goodbye","If PersonX turn to walk away, as a result, PersonY or others want to, PersonY wave goodbye"
PersonX be go to meet PersonY for lunch,PersonX want to harm PersonY,xWant,atomic,0,"PersonX be go to meet PersonY for lunch, thus, PersonX want to harm PersonY","If PersonX be go to meet PersonY for lunch, as a result, PersonX wants to, PersonX want to harm PersonY"
PeopleX thank PersonX for lift,PersonY get splash,oEffect,atomic,0,"PeopleX thank PersonX for lift, thus as an result, PersonY get splash","If PeopleX thank PersonX for lift, as a result, PersonY or others will, PersonY get splash"
open car door,PersonX get thinner,HasSubEvent,cn,0,The event open car door includes the event/action that PersonX get thinner,"If open car door, includes the event or action, PersonX get thinner"
PersonX stand in line,when PeopleX do,xWant,atomic,0,"PersonX stand in line, thus, PersonX want when PeopleX do","If PersonX stand in line, as a result, PersonX wants to, when PeopleX do"
PersonX meet new people,PersonX have fun,xIntent,atomic,1,"PersonX meet new people, thus it can be seen about PersonX's intention that PersonX have fun","If PersonX meet new people, because PersonX wanted, PersonX have fun"
PersonX be in the tv,PersonX get sick,Causes,atomic,1,"Because PersonX be in the tv, PersonX get sick","If PersonX be in the tv, causes, PersonX get sick"
PersonX lose 40 pound,PersonX need to be in close proximity,xNeed,atomic,0,The event PersonX lose 40 pound will not happen unless PersonX be in close proximity,"If PersonX lose 40 pound, but before, PersonX needed, PersonX need to be in close proximity"
PersonX develop PersonY system,PersonY want to take action on matter,oWant,atomic,0,"PersonX develop PersonY system, thus, PersonY want to take action on matter","If PersonX develop PersonY system, as a result, PersonY or others want to, PersonY want to take action on matter"
PersonX work the night shift,PersonX want to make more money,xWant,glucose,1,"PersonX work the night shift, thus, PersonX want to make more money","If PersonX work the night shift, as a result, PersonX wants to, PersonX want to make more money"
PersonX tell story,person x have no story,HinderedBy,atomic,1,"The event PersonX tell story will not happen, if person x have no story","If PersonX tell story, can be hindered by, person x have no story"
PersonX mean much to PersonY,PersonX want to PersonY,xWant,atomic,1,"PersonX mean much to PersonY, thus, PersonX want to PersonY","If PersonX mean much to PersonY, as a result, PersonX wants to, PersonX want to PersonY"
PersonX last much longer,PeopleX girlfriend have tire PeopleX out,HinderedBy,glucose,1,"The event PersonX last much longer will not happen, if PeopleX girlfriend have tire PeopleX out","If PersonX last much longer, can be hindered by, PeopleX girlfriend have tire PeopleX out"
PersonX return to college,PersonY be proud,oReact,atomic,1,"PersonX return to college, thus as a result on PersonY's emotion, PersonY feel PersonY be proud","If PersonX return to college, as a result, PersonY or others feel, PersonY be proud"
PersonX want to regain focus,PersonX try act,xWant,atomic,0,"PersonX want to regain focus, thus, PersonX want to try act","If PersonX want to regain focus, as a result, PersonX wants to, PersonX try act"
PersonX drive PersonY to hospital,PersonX help,xWant,atomic,1,"PersonX drive PersonY to hospital, thus, PersonX want to help","If PersonX drive PersonY to hospital, as a result, PersonX wants to, PersonX help"
PersonX see a movie with friend,PersonX intent watch the new movie,xIntent,atomic,1,"PersonX see a movie with friend, thus it can be seen about PersonX's intention that PersonX intent watch the new movie","If PersonX see a movie with friend, because PersonX wanted, PersonX intent watch the new movie"
PersonX do the right thing,person x do not own up to mistake,HinderedBy,atomic2020,1,"The event PersonX do the right thing will not happen, if person x do not own up to mistake","If PersonX do the right thing, can be hindered by, person x do not own up to mistake"
PersonX be honest,PersonX tell PersonY about it,xWant,glucose,1,"PersonX be honest, thus, PersonX want to tell PersonY about it","If PersonX be honest, as a result, PersonX wants to, PersonX tell PersonY about it"
PersonX make a soup,PersonX get a new start,xWant,atomic,0,"PersonX make a soup, thus, PersonX want to get a new start","If PersonX make a soup, as a result, PersonX wants to, PersonX get a new start"
PersonX buy PersonY drink,PersonX get money,xNeed,atomic,1,The event PersonX buy PersonY drink will not happen unless PersonX get money,"If PersonX buy PersonY drink, but before, PersonX needed, PersonX get money"
PersonX get dress fast,PersonX have much pride,Causes,glucose,0,"Because PersonX get dress fast, PersonX have much pride","If PersonX get dress fast, causes, PersonX have much pride"
PersonX unconsciously look thing to photograph,PersonX clench tooth,xEffect,glucose,0,"PersonX unconsciously look thing to photograph, thus as an result, PersonX clench tooth","If PersonX unconsciously look thing to photograph, as a result, PersonX will, PersonX clench tooth"
PersonX be home watch tv,PersonX want to catch up on news,xIntent,glucose,1,"PersonX be home watch tv, thus it can be seen about PersonX's intention that PersonX want to catch up on news","If PersonX be home watch tv, because PersonX wanted, PersonX want to catch up on news"
PersonX make PersonY exception,PersonY want to smile,oWant,atomic,1,"PersonX make PersonY exception, thus, PersonY want to smile","If PersonX make PersonY exception, as a result, PersonY or others want to, PersonY want to smile"
PersonX drop PeopleX,PersonX wear mismatched sock,xEffect,glucose,0,"PersonX drop PeopleX, thus as an result, PersonX wear mismatched sock","If PersonX drop PeopleX, as a result, PersonX will, PersonX wear mismatched sock"
PersonX start a diet,PersonX need to make diet plan,xNeed,atomic,1,The event PersonX start a diet will not happen unless PersonX make diet plan,"If PersonX start a diet, but before, PersonX needed, PersonX need to make diet plan"
PersonX leave the area,PersonX get out of there,xIntent,atomic,1,"PersonX leave the area, thus it can be seen about PersonX's intention that PersonX get out of there","If PersonX leave the area, because PersonX wanted, PersonX get out of there"
PersonX watch,PersonX laugh so hard in life,xEffect,glucose,1,"PersonX watch, thus as an result, PersonX laugh so hard in life","If PersonX watch, as a result, PersonX will, PersonX laugh so hard in life"
PersonX be health conscious,PersonX be superstitous,xAttr,atomic,0,"PersonX be health conscious, thus it can be seen about PersonX's attribute that PersonX be superstitous","If PersonX be health conscious, PersonX is seen as, PersonX be superstitous"
PersonX try PersonY 's coffee,person y pay for coffee,HinderedBy,atomic2020,1,"The event PersonX try PersonY 's coffee will not happen, if person y pay for coffee","If PersonX try PersonY 's coffee, can be hindered by, person y pay for coffee"
PersonX turn the key in lock,PersonX 's roommate change the lock,HinderedBy,atomic2020,1,"The event PersonX turn the key in lock will not happen, if PersonX 's roommate change the lock","If PersonX turn the key in lock, can be hindered by, PersonX 's roommate change the lock"
PersonX go hunting with PersonY,PersonY enjoy the event,oEffect,atomic,1,"PersonX go hunting with PersonY, thus as an result, PersonY enjoy the event","If PersonX go hunting with PersonY, as a result, PersonY or others will, PersonY enjoy the event"
PersonX give PersonY satisfaction,PersonY be happy,xIntent,atomic,1,"PersonX give PersonY satisfaction, thus it can be seen about PersonX's intention that PersonY be happy","If PersonX give PersonY satisfaction, because PersonX wanted, PersonY be happy"
PersonX catch PersonY 's hand,PersonX stop a person from fall,xIntent,atomic,1,"PersonX catch PersonY 's hand, thus it can be seen about PersonX's intention that PersonX stop a person from fall","If PersonX catch PersonY 's hand, because PersonX wanted, PersonX stop a person from fall"
eye get,PersonX spot PersonY,xEffect,atomic,0,"eye get, thus as an result, PersonX spot PersonY","If eye get, as a result, PersonX will, PersonX spot PersonY"
PersonX have a score,PersonX need to study for examination,xNeed,atomic,0,The event PersonX have a score will not happen unless PersonX study for examination,"If PersonX have a score, but before, PersonX needed, PersonX need to study for examination"
PersonX get dump,PersonX get smack in rear,xEffect,atomic,0,"PersonX get dump, thus as an result, PersonX get smack in rear","If PersonX get dump, as a result, PersonX will, PersonX get smack in rear"
PersonX give PersonY pleasure,PersonX smile,isAfter,atomic2020,0,"Before PersonX give PersonY pleasure, PersonX smile","If PersonX give PersonY pleasure, happens after, PersonX smile"
PersonX be enlighten,PersonX drive PersonY to despair,isBefore,atomic2020,0,"After PersonX be enlighten, PersonX drive PersonY to despair","If PersonX be enlighten, happens before, PersonX drive PersonY to despair"
PersonX transmit,PersonX carry on with work,xWant,atomic,1,"PersonX transmit, thus, PersonX want to carry on with work","If PersonX transmit, as a result, PersonX wants to, PersonX carry on with work"
PersonX diagnose with cancer,PersonX begin to snow,xAttr,atomic,0,"PersonX diagnose with cancer, thus it can be seen about PersonX's attribute that PersonX begin to snow","If PersonX diagnose with cancer, PersonX is seen as, PersonX begin to snow"
PersonX walk around it,PeopleX try a new food,xEffect,atomic,0,"PersonX walk around it, thus as an result, PeopleX try a new food","If PersonX walk around it, as a result, PersonX will, PeopleX try a new food"
PersonX eat buffet,PersonX feel in danger,xAttr,atomic,0,"PersonX eat buffet, thus it can be seen about PersonX's attribute that PersonX feel in danger","If PersonX eat buffet, PersonX is seen as, PersonX feel in danger"
PersonX get brace,PersonX go in check up,xEffect,atomic,1,"PersonX get brace, thus as an result, PersonX go in check up","If PersonX get brace, as a result, PersonX will, PersonX go in check up"
pass sentence,close case,HasSubEvent,cn,1,The event pass sentence includes the event/action that close case,"If pass sentence, includes the event or action, close case"
PeopleX return home,PersonX hate PersonY much,xWant,glucose,0,"PeopleX return home, thus, PersonX want to hate PersonY much","If PeopleX return home, as a result, PersonX wants to, PersonX hate PersonY much"
PeopleX be in the kitchen,PeopleX make that,Causes,glucose,1,"Because PeopleX be in the kitchen, PeopleX make that","If PeopleX be in the kitchen, causes, PeopleX make that"
PersonX get some water,PersonX need to apply for force,xNeed,atomic,0,The event PersonX get some water will not happen unless PersonX apply for force,"If PersonX get some water, but before, PersonX needed, PersonX need to apply for force"
it rain for time,it be there,Causes,glucose,1,"Because it rain for time, it be there","If it rain for time, causes, it be there"
PersonX start work,PersonX want to be a owner,xWant,atomic,0,"PersonX start work, thus, PersonX want to be a owner","If PersonX start work, as a result, PersonX wants to, PersonX want to be a owner"
PersonX change PersonX view,PersonX expect PersonY attack,oReact,atomic,0,"PersonX change PersonX view, thus as a result on PersonY's emotion, PersonX expect PersonY attack","If PersonX change PersonX view, as a result, PersonY or others feel, PersonX expect PersonY attack"
PersonX need to keep PersonY still,PersonX need to be near a vend machine,xNeed,atomic,0,The event PersonX need to keep PersonY still will not happen unless PersonX be near a vend machine,"If PersonX need to keep PersonY still, but before, PersonX needed, PersonX need to be near a vend machine"
PersonX pull the other leg,PersonX play checkers,xReact,atomic,0,"PersonX pull the other leg, thus as a result on PersonX's emotion, PersonX play checkers","If PersonX pull the other leg, as a result, PersonX feels, PersonX play checkers"
PersonX see a scary movie,PersonX be excite,xReact,atomic,1,"PersonX see a scary movie, thus as a result on PersonX's emotion, PersonX feel PersonX be excite","If PersonX see a scary movie, as a result, PersonX feels, PersonX be excite"
PersonX get,PersonX also tell PersonY,xEffect,atomic,0,"PersonX get, thus as an result, PersonX also tell PersonY","If PersonX get, as a result, PersonX will, PersonX also tell PersonY"
PersonX come help PersonY,PersonX hate PersonY,HinderedBy,atomic2020,1,"The event PersonX come help PersonY will not happen, if PersonX hate PersonY","If PersonX come help PersonY, can be hindered by, PersonX hate PersonY"
PersonX fill with joy,PersonX be fortunate,xNeed,atomic,0,The event PersonX fill with joy will not happen unless PersonX be fortunate,"If PersonX fill with joy, but before, PersonX needed, PersonX be fortunate"
PersonX be very old,PersonX eventually give up,xEffect,atomic,0,"PersonX be very old, thus as an result, PersonX eventually give up","If PersonX be very old, as a result, PersonX will, PersonX eventually give up"
PersonX be tire of work,PersonX ask PersonY for job,xEffect,glucose,1,"PersonX be tire of work, thus as an result, PersonX ask PersonY for job","If PersonX be tire of work, as a result, PersonX will, PersonX ask PersonY for job"
PersonX find PersonY mother,PersonY cry,oEffect,atomic,1,"PersonX find PersonY mother, thus as an result, PersonY cry","If PersonX find PersonY mother, as a result, PersonY or others will, PersonY cry"
PersonX find PersonY,PersonX wake up on ground,isBefore,atomic2020,0,"After PersonX find PersonY, PersonX wake up on ground","If PersonX find PersonY, happens before, PersonX wake up on ground"
